20740;OREBRO/EKEBY;SWEDEN;59.267;15.333;33;;;
20750;VASTERAS/HASSLO;AFB;SWEDEN;59.583;16.633;6;;
20760;UPPSALA;SWEDEN;59.883;17.6;21;;;
20770;STOCKHOLM/BROMMA;SWEDEN;59.35;17.95;15;;;
20790;SATENAS;(SWE-AFB);SWEDEN;58.433;12.7;54;;
20800;KARESUANDO;SWEDEN;68.45;22.45;331;;;
20820;LANDSORT;SWEDEN;58.75;17.867;32;;;
20830;GOTSKA;SANDON;SWEDEN;58.4;19.2;12;;
20840;LANNAVAARA;SWEDEN;68.05;22;360;;;
20860;LAINIO;SWEDEN;67.767;22.35;325;;;
20870;JONKOPING;SWEDEN;57.767;14.083;226;;;
20880;KOMPELUSVAARA;SWEDEN;67.083;22.217;263;;;
20890;OLANDS;NORRA;UDDE;SWEDEN;57.367;17.1;4;
20900;VISBY;SWEDEN;57.667;18.35;51;;;
20910;KULLEN;(LGT-H);SWEDEN;56.3;12.45;72;;
20920;MUODOSLOMPOLO;SWEDEN;67.95;23.467;240;;;
20940;UNGSKAR;SWEDEN;56.033;15.8;1;;;
20950;KALMAR;SWEDEN;56.683;16.3;6;;;
20960;PAJALA;SWEDEN;67.217;23.4;168;;;
20980;MALMO/STURUP;SWEDEN;55.55;13.367;72;;;
20990;YSTAD;SWEDEN;55.433;13.833;34;;;
21020;STEKENJOKK;SWEDEN;65.099;14.517;1036;;;
21040;HEMAVAN;SWEDEN;65.8;15.1;473;;;
21080;KLIMPFJALL;SWEDEN;65.067;14.8;560;;;
21150;STORLIEN-VISJOVALE;SWEDEN;63.3;12.133;640;;;
21170;NORDMALING;SWEDEN;63.567;19.5;6;;;
21190;UMEA;SWEDEN;63.8;20.283;7;;;
21200;KVIKKJOKK-ARRENJARK;SWEDEN;66.883;17.75;315;;;
21230;EDSBYN;SWEDEN;61.383;15.833;163;;;
21250;OSTMARK;SWEDEN;60.317;12.7;178;;;
21280;GUNNARN;SWEDEN;65.016;17.683;283;;;
21290;GUNNARN;SOL;(AUT);SWEDEN;64.967;17.7;278;
21330;SNAVLUNDA;SWEDEN;58.967;14.9;144;;;
21350;BURESJON;SWEDEN;65.567;17.867;393;;;
21440;ABRAUR;SWEDEN;65.9;19.1;342;;;
21470;MALA-BRANNAN;SWEDEN;65.15;18.6;363;;;
21480;NORRKOPING/BRAVALLA;SWEDEN;58.617;16.117;27;;;
21490;ARVIDSJAUR;SWEDEN;65.6;19.267;384;;;
21500;NYKOPING/SKAVST;AFB;SWEDEN;58.783;16.917;42;;
21510;JOKKMOKK;FPL;SWEDEN;66.483;20.167;275;;
21520;SUDOK;SWEDEN;66.3;20.417;174;;;
21540;VIDSEL;SWEDEN;65.883;20.15;182;;;
21550;HAGSHULT;(SWE-AFB);SWEDEN;57.3;14.133;169;;
21610;NATTAVAARA;SWEDEN;66.75;20.933;327;;;
21630;LJUNGBYHED(SWE-AFB);SWEDEN;56.083;13.233;43;;;
21660;RONNEBY;(SWE-AFB);SWEDEN;56.267;15.283;58;;
21670;FALSTERBO;(LGT-H);SWEDEN;55.383;12.817;5;;
21730;ALVSBYN;SWEDEN;65.667;21.067;43;;;
21740;LAKATRASK;SWEDEN;66.283;21.133;186;;;
21760;PITE-RONNSKAR;SWEDEN;65.033;21.567;4;;;
21810;OVERKALIX;SVARTBYN;SWEDEN;66.267;22.85;62;;
21860;LULEA-KALLAX;SWEDEN;65.55;22.133;17;;;
21910;STORON;SWEDEN;65.7;23.1;4;;;
21960;HAPARANDA;SWEDEN;65.833;24.15;6;;;
21990;YLINENJARVI;SWEDEN;66.617;23.467;132;;;
22060;STORLIEN;SWEDEN;63.3;12.117;644;;;
22220;GADDEDE;SWEDEN;64.5;14.167;330;;;
22260;OSTERSUND;FROSON;SWEDEN;63.2;14.5;359;;
22300;GUBBHOGEN;SWEDEN;64.217;15.55;310;;;
22310;FOLLINGE;SWEDEN;63.683;14.6;362;;;
22320;NORRAKER;SWEDEN;64.45;15.6;346;;;
22340;STROMSUND;SWEDEN;63.867;15.583;346;;;
22360;HALLHAXASEN;SWEDEN;63.767;15.333;376;;;
22420;HOTING;SWEDEN;64.083;16.233;241;;;
22440;JUNSELE;SWEDEN;63.683;16.95;217;;;
22450;VILHELMINA;SWEDEN;64.583;16.85;349;;;
22470;KRANGEDE;SWEDEN;63.15;16.167;184;;;
22520;IDVATTNET;SWEDEN;64.45;17.083;353;;;
22590;KRAMFORS;(SWE-AFB);SWEDEN;63.05;17.767;19;;
22600;VASTMARKUM;SWEDEN;63.133;18.25;143;;;
22610;LYCKSELE;SWEDEN;64.55;18.717;211;;;
22640;FREDRIKA;SWEDEN;64.083;18.417;300;;;
22650;HEMLING;SWEDEN;63.65;18.55;183;;;
22670;ORNSKOLDSVIK;ARPT;SWEDEN;63.4;18.967;103;;
22690;SKAGSUDDE;SWEDEN;63.183;19.017;11;;;
22710;NORSJO;SWEDEN;64.933;19.383;310;;;
22740;VINDELN;SWEDEN;64.217;19.717;206;;;
22760;NORDMALING;SWEDEN;63.567;19.5;5;;;
22780;SKAGSUDDE;(LGT-H);SWEDEN;63.183;19.017;13;;
22820;PETISTRASK;SWEDEN;64.566;19.7;258;;;
22840;JARNASKLUBB;SWEDEN;63.433;19.683;7;;;
22860;UMEA;SWEDEN;63.8;20.283;8;;;
22861;SODERHAMN;SWEDEN;61.25;17.1;28;;;
22870;HOLMON;SWEDEN;63.817;20.867;8;;;
22880;HOLMOGADD;SWEDEN;63.6;20.75;6;;;
22930;SKELLEFTEA;SWEDEN;64.599;21.067;44;;;
22960;BJUROKLUBB;(LGT-H);SWEDEN;64.483;21.583;36;;
22970;BJUROKLUBB;SWEDEN;64.483;21.583;43;;;
22980;SVARTEBORG;SWEDEN;58.567;11.55;70;;;
23050;NASHUVUD;SWEDEN;58.9;13.25;50;;;
23060;RORBACKSNAS;SWEDEN;61.133;12.817;459;;;
23160;SARNA;SWEDEN;61.7;13.183;425;;;
23170;DRAVAGEN;SWEDEN;62.1;13.617;566;;;
23190;BORTNAN;SWEDEN;62.75;13.85;467;;;
23210;ALVDALEN;SWEDEN;61.25;14.033;253;;;
23240;SVEG;SWEDEN;62.017;14.367;363;;;
23290;HAMRA;SWEDEN;61.667;15;455;;;
23310;HUNGE;SWEDEN;62.75;15.083;343;;;
23330;LJUNGBY;SWEDEN;56.833;13.917;155;;;
23360;EDSBYN;SWEDEN;61.383;15.833;163;;;
